probe,v,rho_impact,rho_star,t_star,n_e,critical_gap_ev,governing,governing_label,governing_gap_ev,margin,lte_valid,failing
frozen_probe_heavyplate,16000.0,0.01,0.1001414114291443,16496.80788530376,1.694050e+24,20.2008,O1+,O II,14.8579,2.513235e+00,True,
frozen_probe_heavyplate,16000.0,0.02,0.19268819159418435,17353.62050997502,3.106081e+24,24.5169,O1+,O II,14.8579,4.492879e+00,True,
frozen_probe_heavyplate,16000.0,0.04,0.37051223815369977,18286.586763921023,5.676584e+24,29.7144,O1+,O II,14.8579,7.998852e+00,True,
frozen_probe_heavyplate,16000.0,0.08,0.7124844826771317,19285.295143222913,1.029657e+25,35.9186,O1+,O II,14.8579,1.412818e+01,True,
frozen_probe_heavyplate,16000.0,0.15,1.2887733067781721,20247.721807309048,1.753419e+25,42.5461,O1+,O II,14.8579,2.348036e+01,True,
frozen_probe_heavyplate,16000.0,0.3,2.4776129681423305,21392.79130693973,3.138360e+25,51.1858,O1+,O II,14.8579,4.088612e+01,True,
frozen_probe_heavyplate,16000.0,0.6,4.7667245817925545,22581.23333347905,5.537784e+25,61.2982,O1+,O II,14.8579,7.022134e+01,True,
frozen_probe_heavyplate,22000.0,0.01,0.10537120437248255,22558.347432201233,5.832035e+24,28.9522,O1+,O II,14.8579,7.399006e+00,True,
frozen_probe_heavyplate,22000.0,0.02,0.20117811154237883,24051.498194623036,1.073651e+25,35.1068,O1+,O II,14.8579,1.319165e+01,True,
frozen_probe_heavyplate,22000.0,0.04,0.3833237798416843,25729.760646497132,1.970986e+25,42.5058,O1+,O II,14.8579,2.341383e+01,True,
frozen_probe_heavyplate,22000.0,0.08,0.7297419732639334,27593.69895201058,3.600584e+25,51.3589,O1+,O II,14.8579,4.130237e+01,True,
frozen_probe_heavyplate,22000.0,0.15,1.3087857602320305,29438.667227743652,6.181142e+25,60.8364,O1+,O II,14.8579,6.864621e+01,True,
frozen_probe_heavyplate,22000.0,0.3,2.4921528935140347,31674.80386222777,1.114593e+26,73.1498,O1+,O II,14.8579,1.193345e+02,True,
frozen_probe_heavyplate,22000.0,0.6,4.741329996180081,34171.05749122159,1.998000e+26,87.7436,O1+,O II,14.8579,2.059554e+02,True,
frozen_probe_heavyplate,28000.0,0.01,0.09425071280392992,33367.787025590056,8.931011e+24,31.2636,O1+,O II,14.8579,9.316308e+00,True,
frozen_probe_heavyplate,28000.0,0.02,0.1822085417809867,35081.01774592696,1.684117e+25,38.3035,O1+,O II,14.8579,1.713339e+01,True,
frozen_probe_heavyplate,28000.0,0.04,0.3518673836153644,37057.617207872514,3.154693e+25,46.7878,O1+,O II,14.8579,3.122664e+01,True,
frozen_probe_heavyplate,28000.0,0.08,0.6775371332460621,39329.35837993682,5.858353e+25,56.9420,O1+,O II,14.8579,5.628906e+01,True,
frozen_probe_heavyplate,28000.0,0.15,1.2243601716424777,41716.564559513514,1.020116e+26,67.8357,O1+,O II,14.8579,9.517044e+01,True,
frozen_probe_heavyplate,28000.0,0.3,2.349968214449116,44685.98803270562,1.867118e+26,82.0330,O1+,O II,14.8579,1.683034e+02,True,
frozen_probe_heavyplate,28000.0,0.6,4.503730400463565,48056.53246953959,3.388193e+26,98.8532,O1+,O II,14.8579,2.945091e+02,True,
frozen_probe_jupiter,69000.0,0.01,0.08723962855317732,137796.45351841173,1.900952e+25,31.7500,O6+,O VII,573.9744,1.692602e-04,False,O6+
frozen_probe_jupiter,69000.0,0.02,0.1682790368308481,144694.1608507498,3.619265e+25,39.0324,O4+,O V,19.6885,7.791821e+00,True,
frozen_probe_jupiter,69000.0,0.04,0.32351533653993114,152746.89945217056,6.872410e+25,47.8999,O4+,O V,19.6885,1.440015e+01,True,
frozen_probe_jupiter,69000.0,0.07,0.5489199304788532,159505.68517504318,1.150330e+26,56.4640,O4+,O V,19.6885,2.358731e+01,True,
frozen_probe_jupiter,69000.0,0.11,0.8392585469366729,165809.2505249735,1.741907e+26,64.4219,O4+,O V,19.6885,3.503198e+01,True,
frozen_probe_jupiter,69000.0,0.16,1.1941068471868683,171138.86689470892,2.453578e+26,71.8349,O4+,O V,19.6885,4.857018e+01,True,
